Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Delta Air Lines,3/03/2019,New York,Paris,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,171.02
Air New Zealand,18/05/2019,Auckland,Tokyo,,19:15,12:35 19 May,17h 20m,1 stop,In-flight meal not included,372.68
Qatar Airways,27/03/2019,Doha,New York,CCU → BLR,17:15,19:45,2h 30m,non-stop,No info,115.88
Cathay Pacific,21/05/2019,Hong Kong,London,CCU → DEL → BLR,17:00,18:00 22 May,25h,1 stop,No info,426.23
Emirates,6/03/2019,Dubai,Sydney,DEL → BOM → COK,08:00,04:25 07 Mar,20h 25m,1 stop,In-flight meal not included,416.95
Qatar Airways,18/05/2019,Doha,Sydney,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,217.75
ANA All Nippon Airways,18/06/2019,Tokyo,Sydney,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,150.45
Air New Zealand,6/06/2019,Auckland,Sydney,DEL → BOM → COK,20:55,04:25 07 Jun,7h 30m,1 stop,In-flight meal not included,309.1
Emirates,9/05/2019,Dubai,Sydney,DEL → JAI → BOM → COK,05:30,04:25 10 May,22h 55m,2 stops,In-flight meal not included,392.45
Delta Air Lines,,Los Angeles,Tokyo,DEL → BOM → COK,19:15,04:25 10 Mar,9h 10m,1 stop,In-flight meal not included,423.28
Singapore Airlines,01/03/2019,Singapore,London,BLR → BOM → DEL,16:55,07:40 02 Mar,14h 45m,1 stop,1 Long layover,809.95
Virgin Australia,1/04/2019,Sydney,Melbourne,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,
Delta Air Lines,01/03/2019,New York,Paris,BLR → VGA → DEL,10:30,22:55,12h 25m,1 stop,No info,331.42
Cathay Pacific,9/04/2019,Hong Kong,Tokyo,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,162.75
Turkish Airlines,3/03/2019,Istanbul,Singapore,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,462.1
Singapore Airlines,12/06/2019,Singapore,Tokyo,CCU → DEL → COK → BLR,20:30,13:45 13 Jun,17h 15m,2 stops,,368.2
Virgin Australia,15/03/2019,Sydney,Brisbane,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,
Virgin Australia,1/05/2019,Sydney,Brisbane,CCU → IXB → BLR,15:55,21:25,5h 30m,1 stop,No info,
ANA All Nippon Airways,1/06/2019,Tokyo,Singapore,DEL → BOM → COK,14:00,01:30 02 Jun,11h 30m,1 stop,No info,402.92
ANA All Nippon Airways,09/03/2019,Tokyo,Los Angeles,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,171.88
Japan Airlines,12/06/2019,Tokyo,Bangkok,DEL → BOM → COK,21:00,07:40 13 Jun,10h 40m,1 stop,No info,252.18
Delta Air Lines,27/05/2019,Atlanta,New York,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,196.58
Delta Air Lines,1/06/2019,Atlanta,New York,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,145.27
Delta Air Lines,24/06/2019,Atlanta,New York,BOM → HYD,16:55,18:25,,non-stop,No info,95.62
Japan Airlines,6/05/2019,Tokyo,Sydney,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,313.48
Qatar Airways,18/04/2019,Doha,London,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,133.22
Virgin Australia,9/05/2019,Sydney,Melbourne,CCU → DEL → BLR,17:00,20:20 10 May,27h 20m,1 stop,No info,287.8
Singapore Airlines,1/04/2019,Singapore,Sydney,CCU → BOM → BLR,16:30,16:20 02 Apr,23h 50m,1 stop,No info,381.95
Cathay Pacific,6/06/2019,Hong Kong,London,CCU → BOM → BLR,14:05,04:40 07 Jun,14h 35m,1 stop,No info,393.35
Virgin Australia,9/05/2019,Sydney,Melbourne,CCU → BOM → BLR,16:30,10:05 10 May,17h 35m,1 stop,In-flight meal not included,258.63
ANA All Nippon Airways,6/04/2019,Tokyo,Singapore,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,102.98
,3/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,116.65
Emirates,6/06/2019,Dubai,London,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,307.33
Turkish Airlines,27/05/2019,Istanbul,London,DEL → JAI → BOM → COK,19:30,04:25 28 May,8h 55m,2 stops,In-flight meal not included,392.45
Japan Airlines,15/05/2019,Tokyo,Paris,CCU → BOM → BLR,16:30,22:35,6h 5m,1 stop,In-flight meal not included,326.62
Air New Zealand,24/03/2019,Auckland,Sydney,CCU → BOM → BLR,,08:10 25 Mar,13h 15m,1 stop,,335.35
Emirates,12/06/2019,Dubai,London,CCU → DEL → BLR,20:20,18:50 13 Jun,22h 30m,1 stop,No info,
Cathay Pacific,15/04/2019,Hong Kong,Sydney,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,125.72
Delta Air Lines,09/03/2019,Atlanta,New York,BLR → BOM → DEL,08:00,09:30 13 Mar,25h 30m,1 stop,,333.95
ANA All Nippon Airways,18/06/2019,Tokyo,Los Angeles,BLR → DEL,21:10,00:05 19 Jun,,non-stop,No info,119.6
ANA All Nippon Airways,9/04/2019,Tokyo,Sydney,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,528.05
ANA All Nippon Airways,6/06/2019,Tokyo,Sydney,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,107.62
Delta Air Lines,1/05/2019,Atlanta,New York,CCU → BOM → BLR,09:25,07:55 02 May,22h 30m,1 stop,No info,252.0
Air New Zealand,3/03/2019,Auckland,Sydney,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,418.22
Japan Airlines,9/06/2019,Tokyo,Paris,DEL → IXU → BOM → COK,17:50,01:30 10 Jun,7h 40m,2 stops,No info,556.78
Emirates,27/04/2019,Dubai,Sydney,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,132.8
Delta Air Lines,1/05/2019,New York,Paris,CCU → DEL → BLR,20:20,23:25 02 May,27h 5m,1 stop,No info,243.52
Cathay Pacific,6/06/2019,Hong Kong,London,DEL → BOM → COK,17:30,01:30 07 Jun,8h,1 stop,No info,402.92
Japan Airlines,21/05/2019,Tokyo,Sydney,DEL → UDR → BOM → COK,13:20,07:40 22 May,18h 20m,2 stops,No info,407.78
Cathay Pacific,6/03/2019,Hong Kong,London,DEL → BOM → COK,19:00,01:35 07 Mar,6h 35m,1 stop,No info,456.23
Japan Airlines,27/05/2019,Tokyo,Sydney,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,121.37
Air New Zealand,6/06/2019,Auckland,Los Angeles,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,447.22
Turkish Airlines,,Istanbul,New York,BLR → BOM → DEL,22:50,08:15 16 Mar,9h 25m,1 stop,No info,408.28
Cathay Pacific,18/05/2019,Hong Kong,London,DEL → HYD → MAA → COK,07:05,09:25 19 May,26h 20m,2 stops,No info,330.58
Delta Air Lines,21/05/2019,Atlanta,New York,DEL → JAI → BOM → COK,09:40,12:35 22 May,26h 55m,2 stops,In-flight meal not included,392.45
Japan Airlines,12/05/2019,Tokyo,Sydney,CCU → BOM → BLR,08:25,09:20 13 May,24h 55m,1 stop,,291.05
ANA All Nippon Airways,1/06/2019,Tokyo,Singapore,BOM → HYD,10:20,,1h 30m,non-stop,In-flight meal not included,122.0
Virgin Australia,3/06/2019,Sydney,Perth,DEL → BOM → COK,17:30,04:25 04 Jun,10h 55m,1 stop,No info,443.2
ANA All Nippon Airways,01/03/2019,Tokyo,Singapore,BLR → VGA → HYD → DEL,10:30,21:25,10h 55m,2 stops,No info,337.75
Qatar Airways,9/04/2019,Doha,New York,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,136.88
Turkish Airlines,15/06/2019,Istanbul,London,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,116.65
Turkish Airlines,9/04/2019,Istanbul,New York,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,377.63
ANA All Nippon Airways,6/05/2019,Tokyo,Singapore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,393.58
Emirates,9/05/2019,Dubai,London,DEL → AMD → BOM → COK,23:05,04:25 11 May,29h 20m,2 stops,No info,503.12
Air New Zealand,15/03/2019,Auckland,Los Angeles,BLR → BOM → DEL,06:45,,5h 30m,1 stop,No info,262.48
Cathay Pacific,3/06/2019,Hong Kong,Sydney,DEL → NAG → BOM → COK,14:35,12:35 04 Jun,22h,2 stops,No info,402.9
,27/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,108.35
Delta Air Lines,18/05/2019,New York,Paris,DEL → BOM → COK,12:50,01:30 19 May,12h 40m,1 stop,No info,231.02
,24/03/2019,Kolkata,,CCU → GAU → DEL → BLR,09:50,23:15 25 Mar,37h 25m,,No info,173.61
Turkish Airlines,15/05/2019,Istanbul,New York,DEL → MAA → COK,09:45,09:25 16 May,23h 40m,1 stop,No info,225.3
ANA All Nippon Airways,9/05/2019,Tokyo,Los Angeles,CCU → BOM → BLR,20:00,18:15 10 May,22h 15m,1 stop,No info,409.15
ANA All Nippon Airways,01/03/2019,Tokyo,Singapore,BLR → BOM → DEL,16:55,10:25 02 Mar,17h 30m,1 stop,1 Long layover,775.15
Air New Zealand,1/04/2019,Auckland,Tokyo,,17:45,20:45,3h,non-stop,In-flight meal not included,136.88
Air New Zealand,21/05/2019,Auckland,Sydney,DEL → BOM → COK,09:15,19:15,10h,1 stop,No info,243.95
Singapore Airlines,15/05/2019,Singapore,Tokyo,CCU → BOM → BLR,16:30,04:40 16 May,12h 10m,1 stop,In-flight meal not included,326.62
Singapore Airlines,21/03/2019,Singapore,Sydney,DEL → BOM → COK,19:15,04:25 22 Mar,9h 10m,1 stop,,378.22
Emirates,9/05/2019,Dubai,New York,DEL → COK,11:00,14:15,3h 15m,non-stop,No info,288.08
Emirates,12/03/2019,Dubai,Sydney,BLR → BOM → DEL,21:25,09:30 13 Mar,12h 5m,1 stop,No info,416.18
Qatar Airways,18/05/2019,Doha,London,CCU → DEL → BLR,09:35,19:10,9h 35m,,In-flight meal not included,
Emirates,21/05/2019,Dubai,New York,DEL → BOM → COK,04:55,19:15,14h 20m,1 stop,No info,228.18
Japan Airlines,6/05/2019,Tokyo,Paris,CCU → GAU → DEL → BLR,16:45,12:00 07 May,19h 15m,2 stops,No info,425.3
Air New Zealand,9/03/2019,Auckland,Los Angeles,DEL → HYD → COK,07:05,22:20,15h 15m,1 stop,No info,208.32
Delta Air Lines,27/05/2019,Los Angeles,Tokyo,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,237.3
Japan Airlines,18/03/2019,Tokyo,Bangkok,BLR → BOM → DEL,22:50,20:20 16 Mar,21h 30m,1 stop,In-flight meal not included,333.95
Cathay Pacific,27/04/2019,Hong Kong,Tokyo,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,144.7
ANA All Nippon Airways,15/06/2019,Tokyo,Los Angeles,MAA → CCU,09:45,12:00,2h 15m,non-stop,No info,108.35
Emirates,15/05/2019,Dubai,Sydney,CCU → IXR → DEL → BLR,05:50,16:15 16 May,34h 25m,2 stops,No info,383.22
ANA All Nippon Airways,15/05/2019,Tokyo,Sydney,BOM → HYD,20:05,21:40,1h 35m,non-stop,No info,67.07
Turkish Airlines,24/05/2019,Istanbul,New York,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,299.08
Qatar Airways,9/06/2019,Doha,London,,21:10,09:20 10 Jun,12h 10m,1 stop,In-flight meal not included,
Turkish Airlines,9/05/2019,Istanbul,London,DEL → BOM → COK,11:30,04:25 10 May,16h 55m,1 stop,In-flight meal not included,
Qatar Airways,21/05/2019,Doha,New York,DEL → BOM → COK,20:55,19:00 22 May,22h 5m,1 stop,In-flight meal not included,388.5
Singapore Airlines,3/03/2019,Singapore,Tokyo,DEL → BHO → BOM → COK,05:55,07:40 04 Mar,25h 45m,2 stops,No info,455.2
ANA All Nippon Airways,18/05/2019,Tokyo,Singapore,DEL → BOM → COK,11:40,19:00,7h 20m,1 stop,No info,317.15
Qatar Airways,27/03/2019,Doha,London,DEL → HYD → BOM → COK,13:05,07:40 28 Mar,18h 35m,2 stops,No info,267.33
Virgin Australia,,Sydney,Melbourne,CCU → BOM → BLR,,20:45,12h 20m,1 stop,,326.62
Japan Airlines,01/03/2019,Tokyo,Sydney,BLR → DEL,,08:55,2h 45m,non-stop,No info,472.17
Qatar Airways,1/04/2019,Doha,New York,CCU → BOM → BLR,08:25,23:35,15h 10m,1 stop,In-flight meal not included,212.78
Qatar Airways,9/06/2019,Doha,London,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,326.62
Japan Airlines,6/03/2019,Tokyo,Sydney,BOM → DEL → HYD,14:00,16:50 07 Mar,26h 50m,1 stop,No info,590.2
ANA All Nippon Airways,,Tokyo,Los Angeles,CCU → BOM → BLR,14:05,08:15 02 May,18h 10m,1 stop,No info,419.9
ANA All Nippon Airways,21/03/2019,Tokyo,Los Angeles,DEL → HYD → COK,08:35,16:10,7h 35m,1 stop,No info,204.52
Japan Airlines,27/04/2019,Tokyo,Bangkok,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,115.7
Turkish Airlines,18/03/2019,Istanbul,London,BLR → BOM → DEL,11:40,09:00 16 Mar,21h 20m,1 stop,In-flight meal not included,333.95
Virgin Australia,15/05/2019,Sydney,Brisbane,DEL → AMD → BOM → COK,19:45,19:15 16 May,23h 30m,2 stops,No info,346.12
,9/04/2019,Banglore,Delhi,BLR → DEL,05:30,08:20,2h 50m,non-stop,No info,118.78
Delta Air Lines,01/03/2019,New York,Paris,BLR → BOM → DEL,11:40,07:40 02 Mar,20h,1 stop,No info,670.78
Cathay Pacific,9/06/2019,Hong Kong,Tokyo,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,146.93
Virgin Australia,9/06/2019,Sydney,Brisbane,DEL → BOM → COK,22:50,04:25 10 Jun,5h 35m,1 stop,No info,443.2
ANA All Nippon Airways,24/06/2019,Tokyo,Sydney,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,327.63
Delta Air Lines,15/06/2019,Los Angeles,Tokyo,DEL → AMD → BOM → COK,19:45,19:15 16 Jun,23h 30m,2 stops,No info,290.75
Singapore Airlines,24/05/2019,Singapore,London,CCU → BOM → BLR,20:00,12:00 25 May,16h,1 stop,No info,438.88
Emirates,1/04/2019,Dubai,Sydney,CCU → BOM → BLR,18:55,20:45 02 Apr,25h 50m,1 stop,In-flight meal not included,212.78
Qatar Airways,6/03/2019,Doha,London,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,169.22
Japan Airlines,15/05/2019,Tokyo,Paris,DEL → BOM → COK,14:00,01:30 16 May,11h 30m,1 stop,No info,413.48
Japan Airlines,1/04/2019,Tokyo,Paris,DEL → COK,14:40,17:50,3h 10m,non-stop,,146.12
Qatar Airways,24/03/2019,Doha,London,CCU → BBI → BOM → BLR,09:10,21:50,12h 40m,2 stops,No info,
Emirates,15/05/2019,Dubai,Sydney,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,102.98
Cathay Pacific,1/04/2019,Hong Kong,Tokyo,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,118.78
Emirates,18/05/2019,Dubai,London,DEL → JAI → BOM → COK,09:40,12:35 19 May,26h 55m,2 stops,No info,455.7
Delta Air Lines,21/06/2019,Los Angeles,Tokyo,BLR → DEL,00:25,03:15,2h 50m,non-stop,No info,102.98
Emirates,21/05/2019,Dubai,Sydney,DEL → BHO → BOM → COK,20:00,19:15 22 May,23h 15m,2 stops,No info,327.15
Delta Air Lines,21/04/2019,Atlanta,New York,DEL → BLR → COK,05:10,10:05,4h 55m,1 stop,No info,213.08
Emirates,6/05/2019,Dubai,New York,CCU → BOM → COK → BLR,09:25,15:05 07 May,29h 40m,2 stops,No info,347.65
Cathay Pacific,21/04/2019,Hong Kong,Sydney,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,209.88
Cathay Pacific,12/06/2019,Hong Kong,London,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,173.77
ANA All Nippon Airways,12/06/2019,Tokyo,Singapore,CCU → DEL → BLR,20:20,22:40 13 Jun,,1 stop,No info,
Qatar Airways,12/06/2019,Doha,New York,CCU → BOM → BLR,18:55,08:15 13 Jun,13h 20m,1 stop,No info,392.9
Cathay Pacific,21/05/2019,Hong Kong,Tokyo,DEL → AMD → BOM → COK,23:05,12:35 22 May,13h 30m,2 stops,No info,455.7
Delta Air Lines,1/05/2019,New York,Paris,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,115.7
Cathay Pacific,24/06/2019,Hong Kong,Sydney,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,144.7
ANA All Nippon Airways,12/04/2019,Tokyo,Los Angeles,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,130.1
Japan Airlines,27/05/2019,Tokyo,Sydney,DEL → BOM → COK,21:50,19:00 28 May,21h 10m,1 stop,No info,484.3
Delta Air Lines,18/03/2019,Los Angeles,Tokyo,BLR → BOM → DEL,22:50,05:05 16 Mar,6h 15m,1 stop,No info,1651.38
ANA All Nippon Airways,9/03/2019,Tokyo,Singapore,DEL → BOM → COK,17:30,01:35 10 Mar,8h 5m,1 stop,No info,372.03
Turkish Airlines,6/05/2019,Istanbul,London,CCU → DEL → BLR,17:00,19:10 07 May,26h 10m,1 stop,,393.58
Turkish Airlines,12/03/2019,Istanbul,Singapore,BLR → BOM → DEL,18:55,07:40 13 Mar,12h 45m,1 stop,No info,416.18
Singapore Airlines,21/05/2019,Singapore,Sydney,BLR → DEL,21:10,00:05 22 May,,,No info,43.67
Emirates,,Dubai,London,BOM → JDH → JAI → DEL → HYD,09:40,15:15 13 Mar,29h 35m,3 stops,No info,551.0
Qatar Airways,1/04/2019,Doha,London,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,
Air New Zealand,6/03/2019,Auckland,Sydney,DEL → BLR → COK,06:10,08:15 07 Mar,26h 5m,1 stop,No info,332.48
,3/04/2019,,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,122.8
,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,207.32
Virgin Australia,03/03/2019,Sydney,Melbourne,,17:00,19:45,2h 45m,non-stop,No info,587.6
ANA All Nippon Airways,15/03/2019,Tokyo,Los Angeles,BLR → BOM → DEL,08:50,23:15,14h 25m,1 stop,No info,262.48
Japan Airlines,1/05/2019,Tokyo,Sydney,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,144.7
Virgin Australia,3/03/2019,Sydney,Brisbane,DEL → BOM → COK,08:00,15:30,7h 30m,1 stop,No info,454.15
Japan Airlines,21/04/2019,Tokyo,Sydney,CCU → BLR,17:10,19:40,2h 30m,non-stop,No check-in baggage included,144.8
Virgin Australia,6/03/2019,Sydney,Perth,DEL → GWL → IDR → BOM → COK,11:35,21:00,9h 25m,3 stops,No info,657.5
ANA All Nippon Airways,24/03/2019,Tokyo,Los Angeles,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,162.75
Air New Zealand,01/03/2019,Auckland,Sydney,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,No info,809.95
Virgin Australia,18/05/2019,Sydney,Brisbane,CCU → BOM → BLR,23:30,07:45 19 May,8h 15m,1 stop,No info,220.93
ANA All Nippon Airways,27/03/2019,Tokyo,Los Angeles,DEL → MAA → BOM → COK,17:35,04:25 28 Mar,10h 50m,2 stops,In-flight meal not included,283.5
Cathay Pacific,21/05/2019,Hong Kong,Tokyo,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,326.62
Air New Zealand,6/06/2019,Auckland,Sydney,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,150.3
Delta Air Lines,27/05/2019,Atlanta,New York,DEL → AMD → BOM → COK,,04:25 29 May,29h 20m,2 stops,,503.12
Japan Airlines,9/04/2019,Tokyo,Bangkok,DEL → NAG → BOM → COK,05:55,19:15 10 Apr,37h 20m,2 stops,No info,232.25
Turkish Airlines,3/06/2019,Istanbul,New York,DEL → BOM → COK,17:30,04:25 04 Jun,10h 55m,1 stop,In-flight meal not included,309.1
Emirates,24/06/2019,Dubai,New York,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,180.92
Turkish Airlines,1/04/2019,Istanbul,London,CCU → BOM → AMD → BLR,09:25,05:25 02 Apr,20h,2 stops,No info,368.05
Air New Zealand,1/05/2019,Auckland,Tokyo,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,117.4
Delta Air Lines,6/05/2019,Los Angeles,Tokyo,CCU → DEL → BLR,17:00,22:05 07 May,29h 5m,1 stop,No info,345.4
Japan Airlines,18/05/2019,Tokyo,Sydney,CCU → JAI → DEL → BLR,08:20,,12h 5m,2 stops,No info,377.52
Delta Air Lines,6/06/2019,Los Angeles,Tokyo,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,326.62
Virgin Australia,24/03/2019,Sydney,Melbourne,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,131.82
Japan Airlines,9/06/2019,Tokyo,Bangkok,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,360.9
Virgin Australia,9/06/2019,Sydney,Melbourne,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,133.22
ANA All Nippon Airways,3/03/2019,Tokyo,Sydney,DEL → BOM → COK,19:15,04:25 04 Mar,9h 10m,1 stop,No info,
Air New Zealand,1/04/2019,Auckland,Tokyo,CCU → DEL → BLR,07:10,22:55,15h 45m,1 stop,No info,249.85
ANA All Nippon Airways,6/03/2019,Tokyo,Los Angeles,DEL → JAI → BOM → COK,05:30,19:45 07 Mar,38h 15m,2 stops,In-flight meal not included,477.82
Singapore Airlines,27/05/2019,Singapore,Sydney,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,102.35
Delta Air Lines,9/06/2019,Los Angeles,Tokyo,DEL → BOM → COK,13:00,01:30 10 Jun,12h 30m,1 stop,No info,216.8
Virgin Australia,6/04/2019,Sydney,Melbourne,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,217.75
Cathay Pacific,12/06/2019,Hong Kong,Sydney,DEL → JAI → BOM → COK,05:30,04:25 13 Jun,22h 55m,2 stops,No info,392.0
ANA All Nippon Airways,9/05/2019,Tokyo,Sydney,CCU → MAA → BLR,14:35,14:35 10 May,24h,1 stop,No info,196.63
Singapore Airlines,12/06/2019,Singapore,Tokyo,DEL → IDR → BOM → COK,09:35,12:35 13 Jun,27h,2 stops,,400.35
Qatar Airways,21/05/2019,Doha,New York,DEL → AMD → BOM → COK,19:10,19:00 22 May,23h 50m,2 stops,No info,455.7
Turkish Airlines,15/06/2019,Istanbul,London,DEL → BHO → BOM → COK,20:00,,23h 15m,2 stops,No info,333.48
Japan Airlines,21/04/2019,Tokyo,Bangkok,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,125.72
,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,18:50,14h 50m,1 stop,No info,340.32
Singapore Airlines,18/05/2019,Singapore,London,DEL → BOM → COK,19:45,12:35 19 May,16h 50m,1 stop,In-flight meal not included,372.68
Air New Zealand,,Auckland,Los Angeles,BLR → CCU → DEL,05:50,09:15 02 Mar,27h 25m,1 stop,No info,404.8
ANA All Nippon Airways,1/05/2019,Tokyo,Singapore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,144.7
Air New Zealand,12/05/2019,Auckland,Tokyo,CCU → BOM → GOI → BLR,09:25,05:35 13 May,20h 10m,2 stops,No info,350.68
Turkish Airlines,18/06/2019,Istanbul,Singapore,BLR → DEL,00:25,03:15,2h 50m,non-stop,No info,102.98
Cathay Pacific,21/05/2019,Hong Kong,Tokyo,CCU → RPR → HYD → BLR,06:35,12:10,5h 35m,2 stops,No info,183.82
Delta Air Lines,9/05/2019,Atlanta,New York,CCU → DEL → COK → BLR,07:00,01:20 10 May,18h 20m,2 stops,No info,392.55
Delta Air Lines,18/03/2019,Los Angeles,Tokyo,BLR → BOM → JDH → DEL,08:55,15:55,7h,2 stops,In-flight meal not included,338.7
Air New Zealand,1/04/2019,Auckland,Los Angeles,,06:30,12:00,5h 30m,1 stop,In-flight meal not included,302.9
Virgin Australia,6/06/2019,Sydney,Perth,CCU → DEL → BLR,20:25,14:25 07 Jun,18h,1 stop,In-flight meal not included,
Cathay Pacific,18/03/2019,Hong Kong,Sydney,MAA → CCU,22:05,00:25 19 Mar,2h 20m,non-stop,No info,158.95
Delta Air Lines,21/05/2019,Atlanta,New York,CCU → DEL → BLR,10:00,23:15,13h 15m,1 stop,No info,359.52
Cathay Pacific,9/06/2019,Hong Kong,Sydney,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,No info,392.0
Singapore Airlines,6/06/2019,Singapore,London,CCU → DEL → BLR,17:00,20:20 07 Jun,27h 20m,1 stop,No info,265.68
Cathay Pacific,9/05/2019,Hong Kong,London,DEL → BOM → COK,15:00,12:35 10 May,21h 35m,1 stop,In-flight meal not included,372.68
Emirates,1/06/2019,Dubai,New York,DEL → BOM → COK,09:00,12:35 02 Jun,27h 35m,1 stop,,309.1
Turkish Airlines,3/06/2019,Istanbul,London,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,150.45
Delta Air Lines,27/03/2019,Atlanta,New York,DEL → BOM → COK,21:50,19:45 28 Mar,21h 55m,1 stop,In-flight meal not included,224.02
Cathay Pacific,21/03/2019,Hong Kong,London,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,124.95
Air New Zealand,27/05/2019,Auckland,Sydney,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,108.35
Qatar Airways,1/05/2019,Doha,Sydney,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,
Emirates,06/03/2019,Dubai,New York,BLR → BOM → DEL,08:00,20:20,12h 20m,1 stop,No info,504.1
